Variável,Importância
loan_amnt,0.223631
person_home_ownership_RENT,0.20757103
person_home_ownership_OWN,0.11160657
cb_person_cred_hist_length,0.07328916
loan_intent_MEDICAL,0.057317916
loan_intent_DEBTCONSOLIDATION,0.05705562
loan_intent_HOMEIMPROVEMENT,0.05428045
loan_intent_VENTURE,0.05138531
person_income,0.029090473
person_home_ownership_MORTGAGE,0.022569442
person_home_ownership_OTHER,0.021281492
loan_intent_EDUCATION,0.015353602
person_age,0.014285244
loan_percent_income,0.0141764395
loan_intent_PERSONAL,0.013828536
loan_int_rate,0.012265063
loan_grade,0.011285465
cb_person_default_on_file_N,0.009727205
cb_person_default_on_file_Y,0.0
