Variável,Importância
loan_amnt,0.23273867
person_home_ownership_RENT,0.14125955
person_home_ownership_OWN,0.1316528
loan_intent_VENTURE,0.072646596
cb_person_cred_hist_length,0.0668676
loan_intent_HOMEIMPROVEMENT,0.06454502
loan_intent_MEDICAL,0.05852057
loan_intent_DEBTCONSOLIDATION,0.055604458
loan_grade,0.03292025
person_emp_length,0.024633704
person_home_ownership_MORTGAGE,0.022533815
person_income,0.021880364
person_age,0.018428147
loan_intent_EDUCATION,0.016916309
loan_intent_PERSONAL,0.013581238
loan_percent_income,0.009407397
loan_int_rate,0.006695364
cb_person_default_on_file_N,0.0056586796
person_home_ownership_OTHER,0.0023067265
cb_person_default_on_file_Y,0.0012026303
